date,country,D,H,I,M,S
2021-05-21,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-22,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-22,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-23,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-23,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-24,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-24,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-25,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-25,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-26,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-26,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-27,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-27,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-28,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-28,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-29,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-29,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-30,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-30,Australia,3.0,0.0,0.0,23.0,0.0
2021-05-31,Armenia,0.0,0.0,0.0,2.0,0.0
2021-05-31,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-01,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-01,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-02,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-02,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-03,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-03,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-04,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-04,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-05,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-05,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-06,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-06,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-07,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-07,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-08,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-08,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-09,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-09,Australia,3.0,0.0,0.0,23.0,0.0
2021-06-10,Armenia,0.0,0.0,0.0,2.0,0.0
2021-06-10,Australia,3.0,0.0,0.0,23.0,0.0
